driver,quali_lap_time_seconds,quali_position,race_time_seconds,lappings,fastest_lap_seconds,gets_points_for_fastest_lap,position
StarWrek,32.161,1,950.628,0,32.058,False,1
Dremet,32.226,4,961.404,0,32.346,False,2
polruizl2,32.32,7,962.001,0,32.212,False,3
Bixon,32.183,2,962.328,0,32.005,True,4
McVizn,32.314,6,962.504,0,32.137,False,5
muritopin,32.1596,3,963.305,0,32.256,False,6
Black,32.282,5,970.136,0,32.154,False,7
Stonic,32.806,8,970.575,0,32.345,False,8
DAONESS6,32.955,9,971.477,0,32.383,False,9
mttaandres,33.498,11,958.099,0,32.92,False,10
cmemgu,33.262,10,969.098,0,33.074,False,11
cheisautosport,35.675,12,971.871,0,32.429,False,12
